species,iteration,maxfish,minrec,asympLen,growthCoef,lenWtPower,lenWtCoef,maxage,minsize,bgResource
Sardinops_sagax,9,0.0,0.0014859302730152722,[26.5638961   5.57996419],[0.48044156 0.21071473],3.120813118267092,0.008991546506830721,25,0.050097129248897566,151.0
Sardinops_sagax,8,0.01,0.0014859302730152722,[26.5638961   5.57996419],[0.48044156 0.21071473],3.0889138381942547,0.009480030928468015,25,0.04757231840979694,142.0
Brevoortia_tyrannus,7,0.02,0.0010908108919872879,[35.5744186   6.40621324],[0.4247907  0.18115904],3.0996631010065667,0.012882143093746775,10,0.16558567099860588,637.0
Sardinops_sagax,1,0.02,0.0014859302730152722,[26.5638961   5.57996419],[0.48044156 0.21071473],3.1148261532224883,0.009081267912054231,25,0.049613258112308115,150.0
Sardinops_sagax,6,0.03,0.0014859302730152722,[26.5638961   5.57996419],[0.48044156 0.21071473],3.111689110417938,0.009128636917272214,25,0.049361588750915834,149.0
Sardinops_sagax,10,0.01,0.0014859302730152722,[26.5638961   5.57996419],[0.48044156 0.21071473],3.1237391244545907,0.008948020035897812,25,0.0503353252700052,152.0
Sardinella_aurita,2,0.0,0.0058880786100469155,[28.65428571  4.83098716],[0.53305714 0.28556764],3.0533014384186457,0.006539108844638721,7,0.03679489974277659,104.0
Brevoortia_tyrannus,6,0.03,0.0010908108919872879,[35.5744186   6.40621324],[0.4247907  0.18115904],3.110505963686283,0.012573397334758941,10,0.1679987489421093,648.0
Sardinella_aurita,5,0.0,0.0058880786100469155,[28.65428571  4.83098716],[0.53305714 0.28556764],3.0437257382735536,0.0066911009632809925,7,0.03645969490244826,103.0
Sardinella_aurita,8,0.0,0.0058880786100469155,[28.65428571  4.83098716],[0.53305714 0.28556764],3.0583122214269753,0.0064609552847086395,7,0.03697153258219912,105.0
Brevoortia_tyrannus,8,0.02,0.0013598598352503933,[35.5744186   6.40621324],[0.4247907  0.18115904],3.098694834621682,0.012910080075345554,10,0.1653718766144342,636.0
Brevoortia_tyrannus,9,0.04,0.0010908108919872879,[35.5744186   6.40621324],[0.4247907  0.18115904],3.116640849479706,0.01240199842234083,10,0.16937961161416942,655.0
Sprattus_sprattus,1,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.1062494485771754,0.005331057037588424,6,0.004561922603106647,8.0
Trachurus_murphyi,2,0.060000000000000005,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.90442562781855,0.01343015136459151,16,1.0590724414661696,5912.0
Sprattus_sprattus,3,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.1081802495330213,0.005308912662542555,6,0.004566645845652381,8.0
Sprattus_sprattus,2,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.0929276100702365,0.00548638333274508,6,0.004529466775829174,8.0
Sprattus_sprattus,4,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.118809224922878,0.005188645559427172,6,0.004592734785968412,8.0
Sprattus_sprattus,5,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.099197327713386,0.0054127255702937326,6,0.004544712745314669,8.0
Sardinops_sagax,4,0.05,0.0018524355698124697,[26.5638961   5.57996419],[0.48044156 0.21071473],3.1212504270644765,0.008985027787952623,25,0.05013265726862614,152.0
Trachurus_murphyi,10,0.03,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.9002768846200304,0.01360559582612139,16,1.053341378007064,5874.0
Sprattus_sprattus,6,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.084036910818594,0.005592554578120983,6,0.004507935052265387,8.0
Sardinella_aurita,10,0.0,0.007340375556767979,[28.65428571  4.83098716],[0.53305714 0.28556764],3.0603908374676565,0.006428809703701027,7,0.03704505352820183,105.0
Sardinops_sagax,5,0.08,0.0018524355698124697,[26.5638961   5.57996419],[0.48044156 0.21071473],3.1072326683010703,0.009196353834756634,25,0.049006263908529094,147.0
Sprattus_sprattus,9,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.104622400470726,0.005349789366605369,6,0.004557946212285747,8.0
Sprattus_sprattus,7,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.0902867358674837,0.005517708030378415,6,0.004523060323773059,8.0
Sprattus_sprattus,8,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.079770890261542,0.005644225704725759,6,0.004497639863755448,8.0
Sprattus_sprattus,10,0.0,0.05073915524881067,[14.75814815  1.40498573],[0.54137037 0.22885655],3.1154701924086226,0.005226130330314056,6,0.004584523076568968,8.0
Sardinella_aurita,9,0.02,0.007340375556767979,[28.65428571  4.83098716],[0.53305714 0.28556764],3.0529040757020747,0.0065453468486623805,7,0.036780928656447075,104.0
Sardinops_sagax,2,0.08,0.0018524355698124697,[26.5638961   5.57996419],[0.48044156 0.21071473],3.1063966834174632,0.009209112707583133,25,0.04893989391695922,147.0
Trachurus_murphyi,9,0.060000000000000005,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.920895921642451,0.012755681576961575,16,1.0821337407361884,6067.0
Etrumeus_sadina,7,0.0,0.007643558600877277,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.0146423809554066,0.00850379267620088,6,0.03003904871105538,82.0
Sardinella_aurita,6,0.04,0.007340375556767979,[28.65428571  4.83098716],[0.53305714 0.28556764],3.056418727951275,0.006490377843996464,7,0.036904686453678046,105.0
Trachurus_trachurus,7,0.11999999999999998,0.0014244646782398303,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.9757843763530523,0.00905905934315356,15,0.11128039407463122,395.0
Sardinella_aurita,3,0.05,0.007340375556767979,[28.65428571  4.83098716],[0.53305714 0.28556764],3.0657113497058877,0.00634725527197174,7,0.037233907549276836,106.0
Etrumeus_sadina,10,0.0,0.007643558600877277,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.012017473088534,0.008428923064686015,6,0.029522125215247892,80.0
Etrumeus_sadina,2,0.02,0.009528845390220794,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.013434838602673,0.00846926799600563,6,0.02980013252653361,81.0
Trachurus_trachurus,2,0.08,0.0014244646782398303,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.9744064598037356,0.009097341691434592,15,0.11118158606368973,395.0
Trachurus_trachurus,1,0.08,0.0014244646782398303,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.980957099469684,0.008916778693434102,15,0.11165210530760084,397.0
Trachurus_trachurus,4,0.12999999999999998,0.0014244646782398303,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.9907186023656003,0.008654338531626808,15,0.11235695140918725,400.0
Etrumeus_sadina,4,0.02,0.009528845390220794,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.011743227181146,0.008421138947674961,6,0.029468633825141477,80.0
Engraulis_encrasicolus,2,0.0,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.0703552203556455,0.005375780869875166,5,0.008054495978167289,16.0
Sardinella_aurita,4,0.060000000000000005,0.007340375556767979,[28.65428571  4.83098716],[0.53305714 0.28556764],3.0674195844299215,0.0063212909715714425,7,0.03729474606775721,106.0
Trachurus_murphyi,4,0.07,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.924509951688217,0.012612276846043447,16,1.0872608223077993,6101.0
Engraulis_encrasicolus,5,0.01,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.077842094427563,0.005269856938439114,5,0.0080694425138634,16.0
Engraulis_japonicus,1,0.0,0.026893005589901882,[17.47619048  3.65826527],[1.3912381  0.99407635],3.4363112275962497,0.003782450261694628,4,0.014068150486927854,33.0
Etrumeus_sadina,6,0.03,0.009528845390220794,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.0124608248481937,0.008441522254825388,6,0.029608805974642945,80.0
Trachurus_trachurus,10,0.09999999999999999,0.0014244646782398303,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.9713820455473963,0.009181936507251319,15,0.110965018062484,394.0
Engraulis_japonicus,2,0.0,0.026893005589901882,[17.47619048  3.65826527],[1.3912381  0.99407635],3.4620688734480063,0.003794705797594874,4,0.01519302995629572,36.0
Sardinella_aurita,1,0.09,0.007340375556767979,[28.65428571  4.83098716],[0.53305714 0.28556764],3.053777590287067,0.00653164179769685,7,0.03681164800837273,104.0
Brevoortia_tyrannus,1,0.09999999999999999,0.0013598598352503933,[35.5744186   6.40621324],[0.4247907  0.18115904],3.094870320785797,0.013021020687591414,10,0.16453011437563503,632.0
Etrumeus_sadina,3,0.04,0.009528845390220794,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.01494492969999,0.008512464832458124,6,0.030099208445683253,82.0
Engraulis_japonicus,3,0.01,0.026893005589901882,[17.47619048  3.65826527],[1.3912381  0.99407635],3.461132215593619,0.0037942594390761894,4,0.015150590466879874,36.0
Etrumeus_sadina,5,0.060000000000000005,0.009528845390220794,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.0120508656567306,0.008429871361003009,6,0.029528645029911506,80.0
Sardinella_aurita,7,0.08,0.007340375556767979,[28.65428571  4.83098716],[0.53305714 0.28556764],3.059436400987622,0.006443550057788713,7,0.03701127683779221,105.0
Engraulis_encrasicolus,4,0.04,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.0658092149120217,0.0054411336813333065,5,0.008045434002333129,16.0
Etrumeus_sadina,8,0.04,0.009528845390220794,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.013479250753869,0.008470535291525052,6,0.029808885863361303,81.0
Engraulis_japonicus,6,0.01,0.026893005589901882,[17.47619048  3.65826527],[1.3912381  0.99407635],3.417445061144862,0.0037734988245405393,4,0.013297432392399527,30.0
Etrumeus_sadina,1,0.060000000000000005,0.009528845390220794,[25.63333333  2.9870833 ],[1.14916667 0.69521376],3.0117294906169794,0.008420749242092816,6,0.029465957072402373,80.0
Engraulis_encrasicolus,6,0.02,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.060313703538932,0.005521198097326161,5,0.008034492898969398,16.0
Trachurus_trachurus,8,0.11999999999999998,0.0014244646782398303,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.9791339605014837,0.008966669029261737,15,0.11152095329484984,396.0
Engraulis_japonicus,10,0.01,0.02157221108772468,[17.47619048  3.65826527],[1.3912381  0.99407635],3.453764717549544,0.003790750333551677,4,0.014820880087861733,35.0
Engraulis_japonicus,4,0.01,0.026893005589901882,[17.47619048  3.65826527],[1.3912381  0.99407635],3.4368928843607427,0.0037827265777705846,4,0.014092609171555257,33.0
Engraulis_encrasicolus,1,0.04,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.0761325583633385,0.005293857997320895,5,0.008066027213688815,16.0
Engraulis_ringens,2,0.0,0.06095092197602343,[19.87222222  1.42094862],[0.97909524 0.25100352],3.009010345324199,0.006543568268780497,3,0.010550707599619524,23.0
Engraulis_encrasicolus,10,0.05,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.0523650179496804,0.005639091866144715,5,0.008018694049951485,16.0
Engraulis_japonicus,5,0.04,0.03352617618645677,[17.47619048  3.65826527],[1.3912381  0.99407635],3.391718679033709,0.0037613265478720456,4,0.012314051082228479,28.0
Engraulis_encrasicolus,8,0.04,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.055010115630994,0.005599583301296914,5,0.008023948007988821,16.0
Engraulis_ringens,3,0.01,0.07598449128581015,[19.87222222  1.42094862],[0.97909524 0.25100352],3.011876430404622,0.006489126343389921,3,0.010552954464809444,23.0
Engraulis_encrasicolus,9,0.04,0.043491346929563045,[18.2779661   2.91945601],[0.60098305 0.44710407],3.0842413667322384,0.005180976283437621,5,0.008082239782017882,17.0
Engraulis_japonicus,8,0.02,0.03352617618645677,[17.47619048  3.65826527],[1.3912381  0.99407635],3.407492029091564,0.0037687849447884136,4,0.012907995808873966,29.0
Pollachius_virens,2,0.01,4.088513327902007e-05,[118.39166667  25.4723543 ],[0.14941667 0.04875627],3.0326547876039927,0.007746658790115313,25,3.004773134527723,20664.0
Thunnus_maccoyii,2,0.08,6.7911207554701694e-06,[228.6         24.16195356],[0.1444     0.02791595],3.0305206146064543,0.01878427964391564,20,52.97289099219005,646723.0
Trachurus_japonicus,6,0.16,0.0009683771382360385,[43.5        13.12503968],[0.363      0.16862977],2.982763597286235,0.01206996580439135,12,0.18619248384437873,734.0
Pollachius_virens,1,0.04,4.088513327902007e-05,[118.39166667  25.4723543 ],[0.14941667 0.04875627],3.043771411329742,0.007385622458778419,25,3.020874578845831,20797.0
Pollachius_virens,5,0.02,4.088513327902007e-05,[118.39166667  25.4723543 ],[0.14941667 0.04875627],3.0342258517783898,0.007694583638491385,25,3.0070434638214034,20683.0
Brevoortia_tyrannus,10,0.09999999999999999,0.0013598598352503933,[35.5744186   6.40621324],[0.4247907  0.18115904],3.096991795465745,0.01295936422032194,10,0.16499651302634868,635.0
Pollachius_virens,6,0.04,4.088513327902007e-05,[118.39166667  25.4723543 ],[0.14941667 0.04875627],3.0576572002657882,0.006958194696154293,25,3.041108165218176,20964.0
Engraulis_ringens,9,0.02,0.07598449128581015,[19.87222222  1.42094862],[0.97909524 0.25100352],3.0212018041185877,0.006315103733767934,3,0.0105602683960813,23.0
Micromesistius_poutassou,3,0.03,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.152984803604589,0.003860287109897623,20,0.06745757286066056,217.0
Micromesistius_poutassou,2,0.02,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.144080157580029,0.003967972391717364,20,0.06714664518717574,215.0
Engraulis_ringens,6,0.04,0.07598449128581015,[19.87222222  1.42094862],[0.97909524 0.25100352],3.0210915895174923,0.006317132967575963,3,0.010560181924694875,23.0
Engraulis_japonicus,7,0.07,0.026893005589901882,[17.47619048  3.65826527],[1.3912381  0.99407635],3.447779863936827,0.003787902164316106,4,0.014558334808451034,34.0
Pollachius_virens,4,0.060000000000000005,4.088513327902007e-05,[118.39166667  25.4723543 ],[0.14941667 0.04875627],3.043826880962009,0.007383863819789612,25,3.020955137646622,20798.0
Micromesistius_poutassou,1,0.04,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.1461490917576445,0.003942687576577068,20,0.06721875907591028,216.0
Gadus_morhua,3,0.0,2.6180670139716458e-05,[110.03925234  29.12598774],[0.18537383 0.08534796],3.0693831800048064,0.00731772399143692,25,2.7020786126200758,18192.0
Engraulis_japonicus,9,0.060000000000000005,0.03352617618645677,[17.47619048  3.65826527],[1.3912381  0.99407635],3.424266032526693,0.003776732725811689,4,0.013571083331662313,31.0
Micromesistius_poutassou,8,0.04,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.1544031977239557,0.0038434061522735763,20,0.06750723235062427,217.0
Gadus_morhua,4,0.0,3.263814291226804e-05,[110.03925234  29.12598774],[0.18537383 0.08534796],3.0718580393792054,0.007255412512773274,25,2.7104200924531354,18259.0
Micromesistius_poutassou,7,0.03,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.148849111064275,0.003909932335637548,20,0.06731298629961541,216.0
Micromesistius_poutassou,6,0.04,0.0012314867823234102,[36.91538462  5.79804742],[0.31853846 0.19533054],3.133347447121484,0.004101764614025319,20,0.06677379019363362,214.0
